Paid_USD,Purchase_Date,Purchase_ID,Purchase_Note,Supplier_ID,TimeSaved,Total_USD,Username,isPaid
$0.00,2026-03-04 00:00:00,137,,5,2026-03-04 11:04:43,$15.54,Unknown,True
"$1,082.00",2026-03-04 00:00:00,138,,2,2026-03-04 21:02:34,"$1,082.00",Unknown,True
$0.00,2026-03-10 00:00:00,139,,30,2026-03-10 20:47:41,$93.26,Unknown,True
$510.25,2026-03-13 00:00:00,140,,26,2026-03-13 22:10:37,$510.25,Unknown,True
$128.00,2026-03-14 00:00:00,141,,7,2026-03-14 15:45:09,$128.00,Unknown,True
$350.60,2026-03-14 00:00:00,142,,6,2026-03-14 15:57:20,$350.60,Unknown,True
$329.00,2026-03-19 00:00:00,143,,1,2026-03-19 20:00:53,$629.00,Unknown,True
$15.54,2026-03-19 00:00:00,144,,30,2026-03-19 20:05:14,$15.54,Unknown,True
$295.00,2026-03-19 00:00:00,145,,10,2026-03-19 20:28:17,$295.00,Unknown,True
$114.00,2026-03-25 00:00:00,146,,23,2026-03-25 16:48:05,$114.00,Unknown,True
$114.00,2026-03-27 00:00:00,147,,34,2026-03-27 20:34:37,$114.00,Unknown,True
"$1,610.00",2026-03-27 00:00:00,148,,2,2026-03-27 20:42:15,"$1,610.00",Unknown,True
$19.20,2026-03-30 00:00:00,149,,6,2026-03-30 14:20:53,$28.80,Unknown,True
"$1,710.00",2026-03-31 00:00:00,150,,3,2026-03-31 13:08:54,"$1,710.00",Unknown,True
$15.54,2026-03-31 00:00:00,151,,5,2026-03-31 17:10:13,$15.54,Unknown,True
$0.00,2026-04-07 00:00:00,152,,30,2026-04-07 23:38:30,$241.38,Unknown,True
$249.00,2026-04-07 00:00:00,153,,26,2026-04-07 23:10:28,$249.00,Unknown,True
$51.00,2026-04-09 00:00:00,154,,34,2026-04-09 20:05:49,$51.00,Unknown,True
$285.00,2026-04-15 00:00:00,155,,10,2026-04-15 21:17:22,$285.00,Unknown,True
$58.00,2026-04-15 00:00:00,156,,6,2026-04-15 21:18:42,$58.00,Unknown,True
$360.60,2026-04-15 00:00:00,157,,6,2026-04-15 21:21:54,$360.60,Unknown,True
$580.00,2026-04-17 00:00:00,158,,2,2026-04-17 19:17:35,$580.00,Unknown,True
