Detail_ID,Discount,Discount_Amount,ExistedQuantity,P_ID,Product_Category,Product_Description,PurchaseCurrency,Purchase_ID,Qty,SerialNumber,Total,Total_Cost,Unit_Cost
559,0.,$0.00,1,1096,Accessories,Alfa Line,USD,107,2,,$15.54,$15.54,$7.77
560,0.,$0.00,0,1699,Accessories,Telzeal p104 / 16Gram 1T,USD,108,4,,$280.00,$280.00,$70.00
561,0.,$0.00,0,1700,Accessories,JBL Earbuds tune 2,USD,109,1,,$77.00,$77.00,$77.00
562,0.,$0.00,0,1702,Accessories,Hoco HC43,USD,110,2,,$16.00,$16.00,$8.00
563,0.,$0.00,0,1701,Accessories,Hoco Children tablet HI10,USD,110,1,,$55.00,$55.00,$55.00
564,0.,$0.00,2,230,Accessories,Hoco E65 In Car Wireless Fm transmitter,USD,110,1,,$7.50,$7.50,$7.50
565,0.,$0.00,0,1704,Accessories,Hoco Multifunctional card holder GT3,USD,110,1,,$4.00,$4.00,$4.00
566,0.,$0.00,0,1706,Accessories,Hoco in car wireless FM Transmitter E62,USD,110,1,,$10.00,$10.00,$10.00
567,0.,$0.00,0,1705,Accessories,Hoco non-slip rotating car holder for dashboard DCA67,USD,110,1,,$5.00,$5.00,$5.00
568,0.,$0.00,0,1703,Accessories,Green Lion earbuds ocean open ear headphones,USD,110,2,,$32.00,$32.00,$16.00
569,0.,$0.00,0,1707,Accessories,Hoco Watch Y37,USD,110,1,,$33.00,$33.00,$33.00
570,0.,$0.00,0,1708,Accessories,Hoco Watch Y27,USD,110,1,,$12.00,$12.00,$12.00
571,0.,$0.00,0,1709,Accessories,Playtime babies 3599,USD,111,1,,$8.75,$8.75,$8.75
572,0.,$0.00,0,1710,Accessories,cufan baby with diaper 8199b,USD,111,1,,$6.75,$6.75,$6.75
573,0.,$0.00,0,1711,Accessories,Deluxe Doll stroller set 16pcs,USD,111,2,,$47.00,$47.00,$23.50
574,0.,$0.00,0,1712,Accessories,play house plush pet grooming shoulder bag,USD,111,1,,$17.50,$17.50,$17.50
575,0.,$0.00,0,1732,Accessories,House Model's barbie,USD,111,1,,$35.00,$35.00,$35.00
576,0.,$0.00,0,1713,Accessories,Fashion real action play set NO.008-603A,USD,111,1,,$14.75,$14.75,$14.75
577,0.,$0.00,0,1733,Accessories, Grand Piano playmat,USD,111,1,,$16.50,$16.50,$16.50
578,0.,$0.00,0,1714,Accessories,Duck and friends,USD,111,1,,$6.75,$6.75,$6.75
579,0.,$0.00,0,1715,Accessories,Squide electric Dance,USD,111,4,,$23.00,$23.00,$5.75
580,0.,$0.00,0,1716,Accessories,Elephant animal little pal,USD,111,1,,$7.50,$7.50,$7.50
581,0.,$0.00,0,1717,Accessories,Fantastic color,USD,111,2,,$5.00,$5.00,$2.50
582,0.,$0.00,0,1718,Accessories,Phone learning activities,USD,111,2,,$5.00,$5.00,$2.50
583,0.,$0.00,0,1719,Accessories,Glittering cosmetic bag,USD,111,1,,$6.25,$6.25,$6.25
584,0.,$0.00,0,1720,Accessories,Chrildren's print camera,USD,111,2,,$51.00,$51.00,$25.50
585,0.,$0.00,0,1721,Accessories,Foilart dream set,USD,111,1,,$4.25,$4.25,$4.25
586,0.,$0.00,0,1722,Accessories,Blackboard + magnectic puzzle,USD,111,1,,$5.75,$5.75,$5.75
587,0.,$0.00,0,1723,Accessories,Makeuo series stitch / barbie,USD,111,2,,$12.50,$12.50,$6.25
588,0.,$0.00,0,1724,Accessories,Pretty Animals sweet dreams makeup,USD,111,1,,$7.75,$7.75,$7.75
589,0.,$0.00,0,1725,Accessories,Magic cube,USD,111,2,,$13.50,$13.50,$6.75
590,0.,$0.00,0,1726,Accessories,Electrinoc Dartboard,USD,111,2,,$31.00,$31.00,$15.50
591,0.,$0.00,0,1727,Accessories,3D Frame cars,USD,111,4,,$66.00,$66.00,$16.50
592,0.,$0.00,0,1728,Accessories,Cool Tools real action,USD,111,1,,$14.75,$14.75,$14.75
593,0.,$0.00,0,1730,Accessories,Champion metal racing car,USD,111,1,,$6.25,$6.25,$6.25
594,0.,$0.00,0,1729,Accessories,special combat vehicles,USD,111,1,,$15.50,$15.50,$15.50
595,0.,$0.00,0,1731,Accessories,fighter jet h23,USD,111,2,,$23.00,$23.00,$11.50
596,0.,$0.00,0,1812,Accessories,OG Full Glue Clear Protection Samsung A36 / A56 / S24 FE,USD,112,10,,$3.50,$3.50,$0.35
597,0.,$0.00,0,1813,Accessories,OG Full Glue Clear Protection Samsung S22 / S23,USD,112,10,,$3.50,$3.50,$0.35
598,0.,$0.00,0,1814,Accessories,OG Full Glue Clear Protection Samsung S22 Plus / S23 Plus,USD,112,10,,$3.50,$3.50,$0.35
599,0.,$0.00,0,1815,Accessories,OG Full Glue Clear Protection Samsung S24,USD,112,10,,$3.50,$3.50,$0.35
600,0.,$0.00,0,1816,Accessories,OG Full Glue Clear Protection Samsung S24 Plus,USD,112,10,,$3.50,$3.50,$0.35
601,0.,$0.00,0,1817,Accessories,OG Full Glue Clear Protection Samsung S24 Ultra,USD,112,10,,$3.50,$3.50,$0.35
602,0.,$0.00,0,1818,Accessories,OG Full Glue Clear Protection iPhone 15,USD,112,10,,$3.50,$3.50,$0.35
603,0.,$0.00,0,1819,Accessories,OG Full Glue Clear Protection iPhone 15 Pro Max,USD,112,10,,$3.50,$3.50,$0.35
604,0.,$0.00,0,1820,Accessories,OG Full Glue Clear Protection iPhone 15 Pro,USD,112,10,,$3.50,$3.50,$0.35
605,0.,$0.00,0,1821,Accessories,OG Full Glue Clear Protection iPhone 13 / 13 Pro / 14 / 16E,USD,112,10,,$3.50,$3.50,$0.35
606,0.,$0.00,0,1822,Accessories,OG Full Glue Clear Protection iPhone 13 Pro Max / 14 Plus,USD,112,10,,$3.50,$3.50,$0.35
607,0.,$0.00,0,1823,Accessories,OG Full Glue Clear Protection iPhone 16 Pro Max,USD,112,10,,$3.50,$3.50,$0.35
608,0.,$0.00,0,1824,Accessories,OG Full Glue Clear Protection iPhone 16 Pro,USD,112,10,,$3.50,$3.50,$0.35
609,0.,$0.00,0,1825,Accessories,OG Full Glue Clear Protection iPhone 16,USD,112,10,,$3.50,$3.50,$0.35
610,0.,$0.00,0,1826,Accessories,OG Full Glue Clear Protection iPhone 14 Pro,USD,112,10,,$3.50,$3.50,$0.35
611,0.,$0.00,0,1827,Accessories,OG Full Glue Clear Protection iPhone 14 Pro Max,USD,112,10,,$3.50,$3.50,$0.35
612,0.,$0.00,0,1838,Accessories,Hoco G15 Privacy Protection iPhone 17 Pro,USD,112,10,,$10.00,$10.00,$1.00
613,0.,$0.00,0,1839,Accessories,Hoco G15 Privacy Protection iPhone 17 Pro Max,USD,112,10,,$10.00,$10.00,$1.00
